"STATE","RELIG","POPWGHT"
"MN","19",0.032962962962963
"MN","20",0.215777777777778
"MN","21",0.081888888888889
"MN","22",0.010962962962963
"MN","23",0.214888888888889
"MN","24",0.099888888888889
"MN","27",0.034925925925926
"MN","30",0.252888888888889
"MN","31",0.157740740740741
"MN","36",0.511555555555556
"MN","38",0.014962962962963
"MN","39",0.052962962962963
"MN","60",0.061925925925926
"MN","61",0.489851851851852
"MN","63",0.154851851851852
"MN","64",0.045962962962963
"MN","65",0.135925925925926
"MN","67",0.041
"MN","73",0.206888888888889
"MN","77",0.089962962962963
"MN","78",0.157
"MN","79",0.050962962962963
"MN","90",0.027962962962963
"MN","91",0.248851851851852
"MN","95",4.3765925925926
"MN","98",0.32162962962963
"MN","99",1.58925925925926
"MO","1",8.1472962962963
"MO","2",6.9772962962963
"MO","3",0.059925925925926
"MO","4",0.037962962962963
"MO","5",0.023962962962963
"MO","6",0.621370370370371
"MO","7",0.04
"MO","8",3.04333333333334
"MO","9",1.52559259259259
"MO","10",0.110962962962963
"MO","11",0.053962962962963
"MO","12",0.492518518518519
"MO","14",1.79262962962963
"MO","15",0.015962962962963
"MO","17",8.77214814814815
"MO","18",0.480222222222223
"MO","19",1.59874074074074
"MO","20",0.220740740740741
"MO","21",0.311592592592593
"MO","22",0.251814814814815
"MO","23",0.174925925925926
"MO","25",0.077925925925926
"MO","27",0.016962962962963
"MO","29",0.025962962962963
"MO","30",0.140851851851852
"MO","31",0.021962962962963
"MO","32",0.275925925925926
"MO","35",0.013962962962963
"MO","36",0.733333333333334
"MO","37",0.041
"MO","39",0.012962962962963
"MO","60",0.340666666666667
"MO","61",0.247962962962963
"MO","62",0.316888888888889
"MO","63",0.147851851851852
"MO","77",0.048962962962963
"MO","78",0.078888888888889
"MO","79",0.179740740740741
"MO","90",0.093888888888889
"MO","91",0.207888888888889
"MO","95",5.93411111111111
"MO","98",0.544666666666667
"MO","99",1.58025925925926
"MS","1",1.83096296296296
"MS","2",7.22437037037038
"MS","3",0.191888888888889
"MS","5",0.058925925925926
"MS","6",0.614370370370371
"MS","7",0.00896296296296296
"MS","8",0.558037037037038
"MS","9",0.688185185185186
"MS","12",0.259518518518519
"MS","14",0.073962962962963
"MS","17",1.36351851851852
"MS","18",0.106666666666667
"MS","19",0.633481481481482
"MS","20",0.021925925925926
"MS","21",0.049962962962963
"MS","22",0.059925925925926
"MS","23",0.280777777777778
"MS","26",0.027962962962963
"MS","30",0.022962962962963
"MS","33",0.239
"MS","36",0.459703703703704
"MS","39",0.096962962962963
"MS","47",0.048962962962963
"MS","63",0.016962962962963
"MS","79",0.175814814814815
"MS","95",0.832333333333334
"MS","98",0.265888888888889
"MS","99",0.285777777777778
"MT","1",0.938592592592594
"MT","2",0.152740740740741
"MT","8",0.455222222222223
"MT","9",0.104740740740741
"MT","12",0.019925925925926
"MT","14",0.939148148148149
"MT","17",2.04803703703704
"MT","18",0.067851851851852
"MT","19",0.239814814814815
"MT","20",0.049925925925926
"MT","21",0.251740740740741
"MT","25",0.013962962962963
"MT","27",0.00896296296296296
"MT","31",0.019962962962963
"MT","36",0.174814814814815
"MT","39",0.034
"MT","60",0.010962962962963
"MT","63",0.133
"MT","65",0.034
"MT","68",0.029962962962963
"MT","74",0.00896296296296296
"MT","77",0.038962962962963
"MT","78",0.025962962962963
"MT","79",0.0698148148148149
"MT","90",0.00896296296296296
"MT","91",0.107962962962963
"MT","95",1.53211111111111
"MT","98",0.00896296296296296
"MT","99",0.421370370370371
"NC","1",6.51896296296297
"NC","2",19.8603703703704
"NC","3",0.191814814814815
"NC","4",0.891481481481482
"NC","5",0.056925925925926
"NC","6",1.22466666666667
"NC","7",0.297703703703704
"NC","8",4.69366666666667
"NC","9",3.04288888888889
"NC","10",0.258888888888889
